id	id	category	prompt	syntax_valid	semantic_valid	error_category	error_detail	n_processes	expected_processes	matches_gt_steps	extra_steps	missing_steps	hallucinated_steps	included_steps	called_steps	ground_truth_steps	code_chars	code_lines	n_workflow_calls	turns	elapsed_s	llm_reply_excerpt	nextflow_code	ground_truth_code
A01_mlst_listeria	A01_mlst_listeria	A01	I have a Listeria monocytogenes assembly and I want to run MLST typing on it.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	1	Y					step_4TY_MLST__mlst	step_4TY_MLST__mlst	371	28	1	2	6.2	Great! I'll set up the pipeline to run MLST typing on your Listeria monocytogenes assembly using the mlst tool. This will analyze the assembly and determine the MLST type.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow step_4TY_MLST__mlst {\n    \n    take:\n        \n        assembly\n        \n    \n    main:\n        mlst(assembly)\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A02_mlst_ecoli	A02_mlst_ecoli	A02	Run MLST typing on an Escherichia coli assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	1	Y					step_4TY_MLST__mlst	step_4TY_MLST__mlst	383	28	1	2	6.2	Great! I'll set up the pipeline to run MLST typing on your Escherichia coli assembly using the `step_4TY_MLST__mlst` tool. This will analyze the assembly and provide the MLST type.\n\nHere's the plan:\n1. Input: Escherichia coli assembly\n2. Process: MLST typing using `step_4TY_MLST__mlst`\n3. Output: ML	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow step_4TY_MLST__mlst {\n    \n    take:\n        \n        assembly\n        \n    \n    main:\n        mlst(assembly)\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A03_mlst_salmonella	A03_mlst_salmonella	A03	Classic MLST (PubMLST) on a Salmonella enterica assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	1	Y					step_4TY_MLST__mlst	step_4TY_MLST__mlst	383	28	1	2	6.9	Great! I'll proceed with the classic MLST (PubMLST) pipeline for Salmonella enterica using the `step_4TY_MLST__mlst` component. This will analyze your Salmonella enterica assembly to determine the MLST type.\n\nHere's the plan:\n1. Input: Salmonella enterica assembly\n2. Process: MLST typing using the `	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow step_4TY_MLST__mlst {\n    \n    take:\n        \n        assembly\n        \n    \n    main:\n        mlst(assembly)\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A04_cgmlst_listeria	A04_cgmlst_listeria	A04	cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	3	Y					step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	4642	151	1	2	12.2	Great! I'll proceed with the pipeline to generate a cgMLST allelic profile for Listeria monocytogenes using the pre-existing assembly. Here's the plan:\n\n1. **Input**: Pre-existing assembly of Listeria monocytogenes\n2. **Tool**: `step_4TY_cgMLST__chewbbaca` (chewbbaca)\n3. **Output**: cgMLST allelic p	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\n\ninclude { parseMetadataFromFileName } from '../functions/common.nf'\n\n// --- GLOBALS ---\n\ndef SPECIES_SCHEMA = ['listeria_monocytogenes': ['l_mono_chewie_1748_220623'], 'escherichia_coli': ['e_coli_chewie_2360_210531'], 'salmonella_enterica': ['s_enterica_chewie_3255_210531']]\n\ndef SCHEMAS = ['l_mono_chewie_1748_220623': '/schemas/Listeria_monocytogenes_Pasteur_cgMLST_2022-06-23T18_03_54.613576.zip', 'e_coli_chewie_2360_210531': '/schemas/Escherichia_coli_INNUENDO_wgMLST_2021-05-31T14_24_05.304225.zip', 's_enterica_chewie_3255_210531': '/schemas/Salmonella_enterica_INNUENDO_cgMLST_2021-05-31T20_28_21.350919.zip']\n\ndef CHEWBBACA_SINGLE_END_PARAMS = ['l_mono_chewie_1748_220623': ' --minimum-length 144 --st 0.1 --bsr 0.6 ', 'e_coli_chewie_2360_210531': ' --minimum-length 0 --st 0.01 --bsr 0.6 --genes-list /schemas/Escherichia_coli_INNUENDO_cgMLST_EFSA_filterlist.txt ', 's_enterica_chewie_3255_210531': ' --minimum-length 0 --st 0.01 --bsr 0.6 --genes-list /schemas/Salmonella_enterica_INNUENDO_cgMLST_EFSA_filterlist.txt ']\n\ndef CHEWBBACA_PAIRED_END_PARAMS = ['l_mono_chewie_1748_220623': ' --minimum-length 144 ', 'e_coli_chewie_2360_210531': ' --minimum-length 0 --genes-list /schemas/Escherichia_coli_INNUENDO_cgMLST_EFSA_filterlist.txt ', 's_enterica_chewie_3255_210531': ' --minimum-length 0 --genes-list /schemas/Salmonella_enterica_INNUENDO_cgMLST_EFSA_filterlist.txt ']\n\ndef STEP = '4TY_cgMLST'\n\ndef METHOD = 'chewbbaca'\n\ndef ENTRYPOINT = 'step_${STEP}__${METHOD}'\n\n// --- INLINE PROCESSES ---\n\nprocess chewbbaca {\n    container 'ghcr.io/genpat-it/chewbbaca-w-chewie-schemas:2.8.5--16b816c96d'\n    \n    input:\n    \n    tuple val(riscd_input), path(assembly)\n    \n    val genus_species\n    \n    val schema\n    \n    \n    output:\n    \n    path '**'\n    \n    path("${base}_results_statistics.tsv"), emit: stats\n    \n    tuple path("${base}_results_alleles.tsv"), path('schema/'), emit: alleles\n    \n    tuple path("${base}_results_alleles.tsv"), path("${base}_new_alleles.txt"), val(schemaName), emit: alleles_with_new\n    \n    path '{*.sh,*.log}', hidden: true\n    \n    \n    script:\n    """\nmd = parseMetadataFromFileName(assembly.getName())\nbase = "${md.ds}-${ex.dt}_${md.cmp}_${METHOD}"\nschemaName = getSchema(genus_species, schema)\nschemaPath = SCHEMAS.get(schemaName)\nnewAlleleKey = assembly.getName().replaceAll('_', '-')\nspeciesSpecificParams = getExtraParams(schemaName)\n"""\n#!/bin/bash -euo pipefail\nunzip ${schemaPath} -d schema > /dev/null\nchmod -R 777 schema\nmkdir input && cp ${assembly} input/\nchewBBACA.py AlleleCall -i input -g schema -o results --cpu ${task.cpus} --force-continue --verbose ${speciesSpecificParams}\ngrep "${newAlleleKey}" schema/*.fasta -A1 -h | grep -v "\-\-" > ${base}_new_alleles.txt || echo "no INF alleles found"\nmv results/*/results_alleles.tsv ${base}_results_alleles.tsv\nmv results/*/results_contigsInfo.tsv ${base}_results_contigsInfo.tsv\nmv results/*/results_statistics.tsv ${base}_results_statistics.tsv\n"""\n    """\n}\n\nprocess chewbbaca_check {\n    container 'quay.io/biocontainers/python:3.9'\n    \n    input:\n    \n    path(chewbbacaStats)\n    \n    \n    output:\n    \n    path '*'\n    \n    path '{*.sh,*.log}', hidden: true\n    \n    path("${base}_import_chewbbaca_check.csv"), emit: check\n    \n    \n    script:\n    """\nmd = parseMetadataFromFileName(chewbbacaStats.getName())\nbase = "${md.ds}-${ex.dt}_${md.cmp}"\n"""\n/scripts/chewieCheck.py --stat ${chewbbacaStats} > ${base}_import_chewbbaca_check.csv\n"""\n    """\n}\n\nprocess hashing {\n    container 'ghcr.io/genpat-it/hashing:1.0--29180a232f'\n    \n    input:\n    \n    tuple path(chewbbaca_result), path(schema_path)\n    \n    \n    output:\n    \n    path '*'\n    \n    path '{*.sh,*.log}', hidden: true\n    \n    \n    script:\n    """\nmd = parseMetadataFromFileName(chewbbaca_result.getName())\nbase = "${md.ds}-${ex.dt}_${md.cmp}"\n"""\nmask_matrix.py -i ${chewbbaca_result} -o masked_results.tsv\nalleleprofile_hasher.py -p masked_results.tsv -d ${schema_path} -o ./_hashed_results.tsv\nrm -Rf ${schema_path}/*\n"""\n    """\n}\n\n// --- SUB WORKFLOWS ---\n\nworkflow step_4TY_cgMLST__chewbbaca {\n    \n    take:\n        \n        assembly\n        \n        genus_species\n        \n        schema\n        \n    \n    main:\n        chewbbaca_result = chewbbaca(assembly, genus_species, schema)\n        hashing(chewbbaca_result.alleles)\n        chewbbaca_check(chewbbaca_result.stats).check\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A05_cgmlst_ecoli	A05_cgmlst_ecoli	A05	cgMLST allelic profile on an Escherichia coli assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	3	Y					step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	3977	127	1	2	12.8	Great! I'll proceed with the pipeline to generate a cgMLST allelic profile for your Escherichia coli assembly using the `step_4TY_cgMLST__chewbbaca` component. This will require the assembly and the appropriate Escherichia coli schema.\n\nHere's the plan:\n1. Input: Escherichia coli assembly\n2. Process	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\ndef SPECIES_SCHEMA = {'listeria_monocytogenes': ['l_mono_chewie_1748_220623'], 'escherichia_coli': ['e_coli_chewie_2360_210531'], 'salmonella_enterica': ['s_enterica_chewie_3255_210531']}\n\ndef SCHEMAS = {'l_mono_chewie_1748_220623': '/schemas/Listeria_monocytogenes_Pasteur_cgMLST_2022-06-23T18_03_54.613576.zip', 'e_coli_chewie_2360_210531': '/schemas/Escherichia_coli_INNUENDO_wgMLST_2021-05-31T14_24_05.304225.zip', 's_enterica_chewie_3255_210531': '/schemas/Salmonella_enterica_INNUENDO_cgMLST_2021-05-31T20_28_21.350919.zip'}\n\ndef CHEWBBACA_SINGLE_END_PARAMS = {'l_mono_chewie_1748_220623': ' --minimum-length 144 --st 0.1 --bsr 0.6 ', 'e_coli_chewie_2360_210531': ' --minimum-length 0 --st 0.01 --bsr 0.6 --genes-list /schemas/Escherichia_coli_INNUENDO_cgMLST_EFSA_filterlist.txt ', 's_enterica_chewie_3255_210531': ' --minimum-length 0 --st 0.01 --bsr 0.6 --genes-list /schemas/Salmonella_enterica_INNUENDO_cgMLST_EFSA_filterlist.txt '}\n\ndef CHEWBBACA_PAIRED_END_PARAMS = {'l_mono_chewie_1748_220623': ' --minimum-length 144 ', 'e_coli_chewie_2360_210531': ' --minimum-length 0 --genes-list /schemas/Escherichia_coli_INNUENDO_cgMLST_EFSA_filterlist.txt ', 's_enterica_chewie_3255_210531': ' --minimum-length 0 --genes-list /schemas/Salmonella_enterica_INNUENDO_cgMLST_EFSA_filterlist.txt '}\n\n// --- INLINE PROCESSES ---\n\nprocess chewbbaca {\n    container 'ghcr.io/genpat-it/chewbbaca-w-chewie-schemas:2.8.5--16b816c96d'\n    \n    input:\n    \n    tuple val(riscd_input), path(assembly)\n    \n    val genus_species\n    \n    val schema\n    \n    \n    output:\n    \n    path '**'\n    \n    path('${base}_results_statistics.tsv'), emit: stats\n    \n    tuple path('${base}_results_alleles.tsv'), path('schema/'), emit: alleles\n    \n    tuple path('${base}_results_alleles.tsv'), path('${base}_new_alleles.txt'), val(schemaName), emit: alleles_with_new\n    \n    path '{*.sh,*.log}', hidden: true\n    \n    \n    script:\n    """\n#!/bin/bash -euo pipefail\nunzip ${schemaPath} -d schema > /dev/null\nchmod -R 777 schema\nmkdir input && cp ${assembly} input/\nchewBBACA.py AlleleCall -i input -g schema -o results --cpu ${task.cpus} --force-continue --verbose ${speciesSpecificParams}\ngrep "${newAlleleKey}" schema/*.fasta -A1 -h | grep -v "\-\-" > ${base}_new_alleles.txt || echo "no INF alleles found"\nmv results/*/results_alleles.tsv ${base}_results_alleles.tsv\nmv results/*/results_contigsInfo.tsv ${base}_results_contigsInfo.tsv\nmv results/*/results_statistics.tsv ${base}_results_statistics.tsv\n    """\n}\n\nprocess chewbbaca_check {\n    container 'quay.io/biocontainers/python:3.9'\n    \n    input:\n    \n    path(chewbbacaStats)\n    \n    \n    output:\n    \n    path '*'\n    \n    path '{*.sh,*.log}', hidden: true\n    \n    path('${base}_import_chewbbaca_check.csv'), emit: check\n    \n    \n    script:\n    """\n/scripts/chewieCheck.py --stat ${chewbbacaStats} > ${base}_import_chewbbaca_check.csv\n    """\n}\n\nprocess hashing {\n    container 'ghcr.io/genpat-it/hashing:1.0--29180a232f'\n    \n    input:\n    \n    tuple path(chewbbaca_result), path(schema_path)\n    \n    \n    output:\n    \n    path '*'\n    \n    path '{*.sh,*.log}', hidden: true\n    \n    \n    script:\n    """\nmask_matrix.py -i ${chewbbaca_result} -o masked_results.tsv\nalleleprofile_hasher.py -p masked_results.tsv -d ${schema_path} -o ./_hashed_results.tsv\nrm -Rf ${schema_path}/*\n    """\n}\n\n// --- SUB WORKFLOWS ---\n\nworkflow step_4TY_cgMLST__chewbbaca {\n    \n    take:\n        \n        assembly\n        \n        genus_species\n        \n        schema\n        \n    \n    main:\n        chewbbaca_result = chewbbaca(assembly, genus_species, schema)\n        hashing(chewbbaca_result.alleles)\n        chewbbaca_check(chewbbaca_result.stats).check\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A06_cgmlst_salmonella	A06_cgmlst_salmonella	A06	Generate cgMLST allelic profiles starting from a Salmonella enterica assembly.	N	N	no_code	http exception: HTTPConnectionPool(host='127.0.0.1', port=8765): Read timed out. (read timeout=180)	0	3	N		step_4TY_cgMLST__chewbbaca				step_4TY_cgMLST__chewbbaca	0	0	0	2	183.3			nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A07_flaa_campylobacter	A07_flaa_campylobacter	A07	Run flaA typing on a Campylobacter assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	1	Y					step_4TY_flaA__flaA	step_4TY_flaA__flaA	460	30	1	2	7.5	Great! I'll set up the pipeline to run FlaA typing on your Campylobacter assembly using the `step_4TY_flaA__flaA` component. The pipeline will be straightforward:\n\n1. Input: Campylobacter assembly\n2. Process: FlaA typing\n\nI'll proceed with this configuration.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow step_4TY_flaA__flaA {\n    \n    take:\n        \n        assembly\n        \n        genus_species\n        \n    \n    main:\n        mlst_flaa(assembly, genus_species)\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    assembly = getCampylobacterAssembly()\n    flaA_typing = step_4TY_flaA__flaA(assembly, 'campylobacter')\n    flaA_typing.view()\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\nworkflow {\n    step_4TY_flaA__flaA(getInput(), param('genus_species'))\n}\n
A08_staramr_campylobacter	A08_staramr_campylobacter	A08	AMR profiling with staramr on a Campylobacter assembly.	Y	Y	file_not_found	WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.CAM.2.1.1/2AS_import/DS99999-DT260224_external/result/*.fasta'	3	1	N	step_2AS_denovo__spades	step_4AN_AMR__staramr		step_2AS_denovo__spades	step_2AS_denovo__spades	step_4AN_AMR__staramr	523	31	1	2	8.1	Great! I'll proceed with the pipeline using Staramr for AMR profiling on your Campylobacter assembly. Since you approved, I'll use the following components:\n\n1. **Assembly**: `step_2AS_denovo__spades` (for de novo assembly)\n2. **AMR Profiling**: `step_4AN_AMR__staramr` (for AMR profiling)\n\nThis pipe	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow wf_campy_amr {\n    \n    take:\n        \n        reads\n        \n    \n    main:\n        assembly = step_2AS_denovo__spades(reads)\n        staramr(assembly.assembled, 'campylobacter')\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    wf_campy_amr(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\nworkflow {\n    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))\n}\n
B01_spades_listeria	B01_spades_listeria	B01	De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	3	N	step_1PP_hostdepl__bowtie			step_1PP_hostdepl__bowtie, step_2AS_denovo__spades	step_1PP_hostdepl__bowtie, step_2AS_denovo__spades	step_2AS_denovo__spades	1206	57	2	2	7.7	Great! I'll proceed with the pipeline using SPAdes for de novo assembly from Illumina paired-end reads of Listeria monocytogenes, with host depletion using Bowtie2. I'll set up the pipeline now.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getHost; getSingleInput } from '../functions/parameters.nf'\n\ninclude { extractKey } from '../functions/common.nf'\n\ninclude { step_1PP_hostdepl__bowtie } from '../steps/step_1PP_hostdepl__bowtie'\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow module_denovo {\n    \n    take:\n        \n        trimmedReads\n        \n        host\n        \n    \n    main:\n        trimmedReads.cross(host) { extractKey(it) }\n            .map { [ it[0][0], it[0][1], it[1][1] ] } //riscd, reads, host\n            .branch {\n                with_host: it[1][1]\n                without_host: true\n            }\n        .set { branchedTrimmed }\n\n        depleted = step_1PP_hostdepl__bowtie(branchedTrimmed.with_host)\n\n        branchedTrimmed.without_host\n            .mix(depleted)\n            .map { it[0,1] }\n            .set{ denovoInput }\n        assembled = step_2AS_denovo__spades(denovoInput)\n    \n    emit:\n        \n        assembled\n        \n        depleted\n        \n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    module_denovo(getSingleInput(), getHost())\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\nworkflow {\n    step_2AS_denovo__spades(getSingleInput())\n}\n
B02_shovill_ecoli	B02_shovill_ecoli	B02	Quick bacterial genome assembly with Shovill from Illumina reads (Escherichia coli).	Y	N	file_not_found	WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.ECO.3.1.1/0SQ_rawreads/DS99999-DT260224_import/result/*.fastq*'	0	3	Y					step_2AS_denovo__shovill	step_2AS_denovo__shovill	688	39	1	2	5.8	Great! I'll set up a pipeline using Shovill for bacterial genome assembly from your Illumina reads. This will be a straightforward assembly workflow. Let me finalize the plan.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow step_2AS_denovo__shovill {\n    \n    take:\n        \n        rawreads\n        \n    \n    main:\n        contigs_from_pe = shovill(rawreads).assembly\n        contigs_from_se = shovill_se(rawreads).assembly\n        contigs = contigs_from_pe.mix(contigs_from_se)\n        quast(contigs)\n        if (!params.skip_checkm) {\n          checkm(contigs)\n        }\n    \n    emit:\n        \n        assembly = contigs\n        \n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_2AS_denovo__shovill(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'\nworkflow {\n    step_2AS_denovo__shovill(getSingleInput())\n}\n
