id	id	category	prompt	syntax_valid	semantic_valid	error_category	error_detail	n_processes	expected_processes	matches_gt_steps	extra_steps	missing_steps	hallucinated_steps	included_steps	called_steps	ground_truth_steps	code_chars	code_lines	n_workflow_calls	turns	elapsed_s	llm_reply_excerpt	nextflow_code	ground_truth_code
A01_mlst_listeria	A01_mlst_listeria	A01	I have a Listeria monocytogenes assembly and I want to run MLST typing on it.	Y	Y	none		1	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	461	30	1	2	9.2	I'm glad you're ready to proceed! I'll now create a detailed plan for the pipeline using the MLST tool for Listeria monocytogenes typing.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow module_surveillance {\n    \n    take:\n        \n        assembly\n        \n    \n    main:\n        step_4TY_MLST__mlst(assembly)\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    module_surveillance(getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A02_mlst_ecoli	A02_mlst_ecoli	A02	Run MLST typing on an Escherichia coli assembly.	Y	Y	none		1	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	319	18	1	2	6.5	I will run MLST typing on your Escherichia coli assembly using the MLST tool (`step_4TY_MLST__mlst`). This will generate the Multi-Locus Sequence Typing (MLST) results for your assembly.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A03_mlst_salmonella	A03_mlst_salmonella	A03	Classic MLST (PubMLST) on a Salmonella enterica assembly.	Y	Y	none		1	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	319	18	1	2	6.3	I will create a pipeline for running MLST on a Salmonella enterica assembly. The pipeline will use the following steps: 1. step_4TY_MLST__mlst. This will run MLST on the assembly.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A04_cgmlst_listeria	A04_cgmlst_listeria	A04	cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.	Y	Y	none		3	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	395	18	1	2	8.0	I'm glad you're ready to proceed! I will now create a detailed plan for generating a cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getAssembly(), 'listeria_monocytogenes', 'l_mono_chewie_1748_220623')\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A05_cgmlst_ecoli	A05_cgmlst_ecoli	A05	cgMLST allelic profile on an Escherichia coli assembly.	N	N	file_not_found	WARN: file not found: '/mnt/data/cohesive_bench/scratch/llm_full_200/_shared_inputdir/2026/2026.ECO.2.1.1/2AS_import/DS99999-DT260224_external/result/*.fasta'	0	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	377	18	1	2	8.2	I'm glad to hear that you're interested in generating a cgMLST allelic profile for your Escherichia coli assembly. I have a pipeline ready for you that uses the `step_4TY_cgMLST__chewbbaca` component. This will take your assembly and a species-specific schema as input and generate the cgMLST profile	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getAssembly(), params.genus_species, params.schema)\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A06_cgmlst_salmonella	A06_cgmlst_salmonella	A06	Generate cgMLST allelic profiles starting from a Salmonella enterica assembly.	Y	N	missing_param	ERROR ~ missing required param: step_3TX_species__kmerfinder__db	0	3	N	step_2AS_mapping__bowtie, step_3TX_species__kmerfinder, step_4AN_AMR__abricate, step_4AN_AMR__staramr, step_4AN_genes__prokka, step_4TY_MLST__mlst, step_4TY_flaA__flaA			step_2AS_mapping__bowtie, step_3TX_species__kmerfinder, step_4AN_AMR__abricate, step_4AN_AMR__staramr, step_4AN_genes__prokka, step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca, step_4TY_flaA__flaA	step_3TX_species__kmerfinder, step_2AS_mapping__bowtie, step_4AN_AMR__abricate, step_4AN_genes__prokka, step_4AN_AMR__staramr, step_4TY_MLST__mlst, step_4TY_flaA__flaA, step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	2240	76	8	2	13.3	I can generate cgMLST allelic profiles starting from a Salmonella enterica assembly. I can use the module_typing_bacteria template, which includes the step_4TY_cgMLST__chewbbaca component. This template also includes steps for AMR gene detection, MLST, and flaA typing.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'\n\ninclude { getAssembly; getTrimmedReads } from '../functions/parameters.nf'\n\ninclude { extractKey; getEmpty } from '../functions/common.nf'\n\ninclude { step_4AN_genes__prokka } from '../steps/step_4AN_genes__prokka'\n\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\n\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { step_2AS_mapping__bowtie } from '../steps/step_2AS_mapping__bowtie'\n\ninclude { step_3TX_species__kmerfinder } from '../steps/step_3TX_species__kmerfinder'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow module_typing_bacteria {\n    \n    take:\n        \n        trimmed\n        \n        assembly\n        \n    \n    main:\n        assigned_species = step_3TX_species__kmerfinder(assembly).assigned_species\n\n        if (!params.skip_bestref_mapping) {\n          trimmed.cross(assigned_species) { extractKey(it) }.multiMap {\n            trimmed: it[0]\n            species: it[1][1]\n            referencePath: it[1][2]\n          }.set { trimAndAndSpecies }\n          step_2AS_mapping__bowtie(trimAndAndSpecies.trimmed, trimAndAndSpecies.referencePath)\n        }\n\n        step_4AN_AMR__abricate(assembly)\n\n        step_4AN_genes__prokka(assembly.map{ [ it[0], it[1], 'Bacteria', '-', '-', getEmpty() ] })\n\n        assembly.cross(assigned_species) { extractKey(it) }.multiMap {\n          assembly: it[0]\n          species: it[1][1]\n        }.set { assemblyAndSpecies }\n\n        step_4AN_AMR__staramr(assemblyAndSpecies.assembly, assemblyAndSpecies.species)\n        step_4TY_MLST__mlst(assemblyAndSpecies.assembly)\n        step_4TY_flaA__flaA(assemblyAndSpecies.assembly, assemblyAndSpecies.species)\n        step_4TY_cgMLST__chewbbaca(assemblyAndSpecies.assembly, assemblyAndSpecies.species, '')\n    \n    emit:\n        \n        genus_species = assigned_species\n        \n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    module_typing_bacteria(getTrimmedReads(true), getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A07_flaa_campylobacter	A07_flaa_campylobacter	A07	Run flaA typing on a Campylobacter assembly.	N	N	missing_param	ERROR ~ missing required param: step_3TX_species__kmerfinder__db	0	1	N	step_2AS_mapping__bowtie, step_3TX_species__kmerfinder, step_4AN_AMR__abricate, step_4AN_AMR__staramr, step_4AN_genes__prokka, step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca			step_2AS_mapping__bowtie, step_3TX_species__kmerfinder, step_4AN_AMR__abricate, step_4AN_AMR__staramr, step_4AN_genes__prokka, step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca, step_4TY_flaA__flaA	step_3TX_species__kmerfinder, step_2AS_mapping__bowtie, step_4AN_AMR__abricate, step_4AN_genes__prokka, step_4AN_AMR__staramr, step_4TY_MLST__mlst, step_4TY_flaA__flaA, step_4TY_cgMLST__chewbbaca	step_4TY_flaA__flaA	2240	76	8	2	12.4	I will proceed with the module_typing_bacteria template, which includes flaA typing and other typing methods like MLST, cgMLST, and AMR detection.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'\n\ninclude { getAssembly; getTrimmedReads } from '../functions/parameters.nf'\n\ninclude { extractKey; getEmpty } from '../functions/common.nf'\n\ninclude { step_4AN_genes__prokka } from '../steps/step_4AN_genes__prokka'\n\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\n\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { step_2AS_mapping__bowtie } from '../steps/step_2AS_mapping__bowtie'\n\ninclude { step_3TX_species__kmerfinder } from '../steps/step_3TX_species__kmerfinder'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow module_typing_bacteria {\n    \n    take:\n        \n        trimmed\n        \n        assembly\n        \n    \n    main:\n        assigned_species = step_3TX_species__kmerfinder(assembly).assigned_species\n\n        if (!params.skip_bestref_mapping) {\n          trimmed.cross(assigned_species) { extractKey(it) }.multiMap {\n            trimmed: it[0]\n            species: it[1][1]\n            referencePath: it[1][2]\n          }.set { trimAndAndSpecies }\n          step_2AS_mapping__bowtie(trimAndAndSpecies.trimmed, trimAndAndSpecies.referencePath)\n        }\n\n        step_4AN_AMR__abricate(assembly)\n\n        step_4AN_genes__prokka(assembly.map{ [ it[0], it[1], 'Bacteria', '-', '-', getEmpty() ] })\n\n        assembly.cross(assigned_species) { extractKey(it) }.multiMap {\n          assembly: it[0]\n          species: it[1][1]\n        }.set { assemblyAndSpecies }\n\n        step_4AN_AMR__staramr(assemblyAndSpecies.assembly, assemblyAndSpecies.species)\n        step_4TY_MLST__mlst(assemblyAndSpecies.assembly)\n        step_4TY_flaA__flaA(assemblyAndSpecies.assembly, assemblyAndSpecies.species)\n        step_4TY_cgMLST__chewbbaca(assemblyAndSpecies.assembly, assemblyAndSpecies.species, '')\n    \n    emit:\n        \n        genus_species = assigned_species\n        \n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    module_typing_bacteria(getTrimmedReads(true), getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\nworkflow {\n    step_4TY_flaA__flaA(getInput(), param('genus_species'))\n}\n
A08_staramr_campylobacter	A08_staramr_campylobacter	A08	AMR profiling with staramr on a Campylobacter assembly.	Y	Y	none		1	1	Y				step_4AN_AMR__staramr	step_4AN_AMR__staramr	step_4AN_AMR__staramr	353	18	1	2	6.8	Great! I will now proceed with building the pipeline for AMR profiling with staramr on a Campylobacter assembly.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4AN_AMR__staramr(getSingleInput(), params.genus_species)\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\nworkflow {\n    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))\n}\n
B01_spades_listeria	B01_spades_listeria	B01	De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.	Y	Y	none		6	3	N	step_1PP_trimming__fastp			step_1PP_trimming__fastp, step_2AS_denovo__spades	step_1PP_trimming__fastp, step_2AS_denovo__spades	step_2AS_denovo__spades	495	22	2	2	6.8	I'm glad you're ready to proceed with the pipeline. I will now generate the detailed plan for the Architect.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    trimmed = step_1PP_trimming__fastp(getSingleInput()).trimmed\n\n    assembled = step_2AS_denovo__spades(trimmed).assembled\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\nworkflow {\n    step_2AS_denovo__spades(getSingleInput())\n}\n
B02_shovill_ecoli	B02_shovill_ecoli	B02	Quick bacterial genome assembly with Shovill from Illumina reads (Escherichia coli).	Y	Y	none		6	3	N	step_1PP_trimming__fastp			step_1PP_trimming__fastp, step_2AS_denovo__shovill	step_1PP_trimming__fastp, step_2AS_denovo__shovill	step_2AS_denovo__shovill	495	21	2	2	6.1	I'm ready to build the pipeline for bacterial genome assembly using Shovill. I'll use Fastp for trimming and Shovill for assembly.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\n\ninclude { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    trimmed = step_1PP_trimming__fastp(getSingleInput()).trimmed\n    assembly = step_2AS_denovo__shovill(trimmed).assembly\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'\nworkflow {\n    step_2AS_denovo__shovill(getSingleInput())\n}\n
