id	id	category	prompt	syntax_valid	semantic_valid	error_category	error_detail	n_processes	expected_processes	matches_gt_steps	extra_steps	missing_steps	hallucinated_steps	included_steps	called_steps	ground_truth_steps	code_chars	code_lines	n_workflow_calls	turns	elapsed_s	llm_reply_excerpt	nextflow_code	ground_truth_code
A01_mlst_listeria	A01_mlst_listeria	A01	I have a Listeria monocytogenes assembly and I want to run MLST typing on it.	Y	Y	none		1	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	319	18	1	2	9.7	Perfect! I will design a pipeline to perform MLST typing on your Listeria monocytogenes assembly using the `step_4TY_MLST__mlst` tool.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A02_mlst_ecoli	A02_mlst_ecoli	A02	Run MLST typing on an Escherichia coli assembly.	Y	Y	none		1	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	319	18	1	2	8.5	Understood. I will design a pipeline that includes MLST typing for your Escherichia coli assembly using the `step_4TY_MLST__mlst` component.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A03_mlst_salmonella	A03_mlst_salmonella	A03	Classic MLST (PubMLST) on a Salmonella enterica assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	319	18	1	2	33.8	Approved! I will proceed with the MLST typing step for your Salmonella enterica assembly using the specified component.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A04_cgmlst_listeria	A04_cgmlst_listeria	A04	cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.	Y	Y	none		3	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	423	18	1	2	20.7	I will now design the pipeline for generating a cgMLST allelic profile for Listeria monocytogenes using the pre-existing assembly. The pipeline will use the `step_4TY_cgMLST__chewbbaca` component.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getAssembly; optionalOrDefault; param } from '../functions/parameters.nf'\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getAssembly(), param('genus_species'), optionalOrDefault('schema', ''))\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A05_cgmlst_ecoli	A05_cgmlst_ecoli	A05	cgMLST allelic profile on an Escherichia coli assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	423	18	1	2	14.2	Understood. I will proceed with the cgMLST allelic profile generation for Escherichia coli using the `step_4TY_cgMLST__chewbbaca` component.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getAssembly; optionalOrDefault; param } from '../functions/parameters.nf'\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getAssembly(), param('genus_species'), optionalOrDefault('schema', ''))\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A06_cgmlst_salmonella	A06_cgmlst_salmonella	A06	Generate cgMLST allelic profiles starting from a Salmonella enterica assembly.	Y	Y	none		3	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	423	18	1	2	15.7	I will proceed with generating cgMLST allelic profiles for Salmonella enterica using the chewbbaca tool. The pipeline will include the step for cgMLST typing with the required inputs: assembly, genus_species, and schema.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getAssembly; optionalOrDefault; param } from '../functions/parameters.nf'\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getAssembly(), param('genus_species'), optionalOrDefault('schema', ''))\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A07_flaa_campylobacter	A07_flaa_campylobacter	A07	Run flaA typing on a Campylobacter assembly.	Y	Y	none		1	1	Y				step_4TY_flaA__flaA	step_4TY_flaA__flaA	step_4TY_flaA__flaA	350	18	1	2	11.0	Approved. I will set up the flaA typing step for your Campylobacter assembly using the specified component.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getAssembly; param } from '../functions/parameters.nf'\n\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_flaA__flaA(getAssembly(), param('genus_species'))\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\nworkflow {\n    step_4TY_flaA__flaA(getInput(), param('genus_species'))\n}\n
A08_staramr_campylobacter	A08_staramr_campylobacter	A08	AMR profiling with staramr on a Campylobacter assembly.	Y	Y	none		1	1	Y				step_4AN_AMR__staramr	step_4AN_AMR__staramr	step_4AN_AMR__staramr	362	18	1	2	11.8	Approved. I will proceed with the AMR profiling pipeline using Staramr for your Campylobacter assembly.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getSingleInput; param } from '../functions/parameters.nf'\n\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\nworkflow {\n    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))\n}\n
B01_spades_listeria	B01_spades_listeria	B01	De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.	Y	Y	none		3	3	Y				step_2AS_denovo__spades	step_2AS_denovo__spades	step_2AS_denovo__spades	337	18	1	2	19.8	I will proceed with the basic de novo assembly using SPAdes for your Listeria monocytogenes Illumina paired-end reads.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_2AS_denovo__spades(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\nworkflow {\n    step_2AS_denovo__spades(getSingleInput())\n}\n
B02_shovill_ecoli	B02_shovill_ecoli	B02	Quick bacterial genome assembly with Shovill from Illumina reads (Escherichia coli).	N	N	no_code	http exception: HTTPConnectionPool(host='127.0.0.1', port=8765): Read timed out. (read timeout=180)	0	3	N		step_2AS_denovo__shovill				step_2AS_denovo__shovill	0	0	0	2	186.1			nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'\nworkflow {\n    step_2AS_denovo__shovill(getSingleInput())\n}\n
