id	id	category	prompt	syntax_valid	semantic_valid	error_category	error_detail	n_processes	expected_processes	matches_gt_steps	extra_steps	missing_steps	hallucinated_steps	included_steps	called_steps	ground_truth_steps	code_chars	code_lines	n_workflow_calls	turns	elapsed_s	llm_reply_excerpt	nextflow_code	ground_truth_code
A01_mlst_listeria	A01_mlst_listeria	A01	I have a Listeria monocytogenes assembly and I want to run MLST typing on it.	Y	Y	none		1	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	388	21	1	2	11.8	Proceeding with MLST typing for your Listeria monocytogenes assembly using the `step_4TY_MLST__mlst` component.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\ndef mlstExcludedSchemas = 'lmo2,lmo3'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    assembly = getSingleInput()\n    step_4TY_MLST__mlst(assembly)\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A02_mlst_ecoli	A02_mlst_ecoli	A02	Run MLST typing on an Escherichia coli assembly.	Y	Y	none		1	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	367	20	1	2	8.9	Understood! I will proceed with running MLST typing on your *Escherichia coli* assembly using the `step_4TY_MLST__mlst` component.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\ndef mlstExcludedSchemas = 'ecoli,cgmlst'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A03_mlst_salmonella	A03_mlst_salmonella	A03	Classic MLST (PubMLST) on a Salmonella enterica assembly.	Y	Y	none		1	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	433	21	1	2	9.1	Proceeding with the MLST pipeline for *Salmonella enterica* using the PubMLST scheme.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\ndef mlstContainer = 'ghcr.io/genpat-it/mlst-w-db:2.23.0--60b8b2e3dd_231219.124455'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    assembly = getSingleInput()\n    step_4TY_MLST__mlst(assembly)\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A04_cgmlst_listeria	A04_cgmlst_listeria	A04	cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.	Y	Y	file_not_found	WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.LIS.2.1.1/2AS_import/DS99999-DT260224_external/result/*.fasta'	3	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	690	25	1	2	10.0	Pipeline approved. Proceeding with the cgMLST allelic profile generation for *Listeria monocytogenes* using the pre-existing assembly.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\ndef chewbbacaSchema = 'l_mono_chewie_1748_220623'\n\ndef chewbbacaSchemaPath = "/schemas/Listeria_monocytogenes_Pasteur_cgMLST_2022-06-23T18_03_54.613576.zip"\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    assembly = getSingleInput()\n    chewbbaca_out = step_4TY_cgMLST__chewbbaca(assembly, 'Listeria monocytogenes', chewbbacaSchema)\n    hashing(chewbbaca_out.alleles, file(chewbbacaSchemaPath))\n    chewbbaca_check(chewbbaca_out.stats)\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A05_cgmlst_ecoli	A05_cgmlst_ecoli	A05	cgMLST allelic profile on an Escherichia coli assembly.	Y	Y	none		3	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	475	21	1	2	15.9	Understood! I will now generate the detailed pipeline plan for cgMLST allelic profiling on your *Escherichia coli* assembly using **chewBBACA**.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { getSingleInput; optionalOrDefault } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\ndef genusSpecies = 'Escherichia coli'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    assembly = getSingleInput()\n    step_4TY_cgMLST__chewbbaca(assembly, genusSpecies, optionalOrDefault('schema', ''))\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A06_cgmlst_salmonella	A06_cgmlst_salmonella	A06	Generate cgMLST allelic profiles starting from a Salmonella enterica assembly.	Y	Y	file_not_found	WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.SAL.2.1.1/2AS_import/DS99999-DT260224_external/result/*.fasta'	3	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	1088	44	1	2	13.2	Understood! I will proceed with generating a cgMLST allelic profiling pipeline for *Salmonella enterica* using the `module_typing_bacteria` template, which includes `step_4TY_cgMLST__chewbbaca`.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\ndef chewbbacaSchemaPath = "${params.assets_dir}/module_typing_bacteria/schemas/salmonella_enterica_cgmlst_schema"\n\ndef chewbbacaSchemaCode = 'Salmonella_enterica_cgmlst'\n\ndef chewbbacaSchemaRiscd = '230515-020223051500512127-4TY_cgMLST-chewbbaca'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow wf_salmonella_cgmlst {\n    \n    take:\n        \n        assembly\n        \n    \n    main:\n        assembly.multiMap {\n            assembly: it\n            species: 'Salmonella enterica'\n            schema: [ chewbbacaSchemaRiscd, chewbbacaSchemaCode, file(chewbbacaSchemaPath) ]\n        }.set { asmSpeciesSchema }\n\n        step_4TY_cgMLST__chewbbaca(asmSpeciesSchema.assembly, asmSpeciesSchema.species, asmSpeciesSchema.schema)\n\n        cgmlst_profiles = step_4TY_cgMLST__chewbbaca.profiles\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    wf_salmonella_cgmlst(getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A07_flaa_campylobacter	A07_flaa_campylobacter	A07	Run flaA typing on a Campylobacter assembly.	Y	Y	none		1	1	Y				step_4TY_flaA__flaA	step_4TY_flaA__flaA	step_4TY_flaA__flaA	399	21	1	2	10.4	Understood! The pipeline for **flaA typing on a Campylobacter assembly** has been approved and will proceed as planned.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\ndef genusSpecies = 'Campylobacter'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    assembly = getSingleInput()\n    step_4TY_flaA__flaA(assembly, genusSpecies)\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\nworkflow {\n    step_4TY_flaA__flaA(getInput(), param('genus_species'))\n}\n
A08_staramr_campylobacter	A08_staramr_campylobacter	A08	AMR profiling with staramr on a Campylobacter assembly.	Y	N	missing_param	ERROR ~ missing required param: step_3TX_species__kmerfinder__db	0	1	N	step_3TX_species__kmerfinder	step_4AN_AMR__staramr		step_3TX_species__kmerfinder	step_3TX_species__kmerfinder	step_4AN_AMR__staramr	615	33	1	2	9.8	Approved! The pipeline for AMR profiling with **staramr** on a **Campylobacter** assembly will proceed as follows:	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_3TX_species__kmerfinder } from '../steps/step_3TX_species__kmerfinder'\n\n// --- GLOBALS ---\n\ndef genusSpecies = 'campylobacter_jejuni'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow wf_amr_campylobacter {\n    \n    take:\n        \n        assembly\n        \n    \n    main:\n        kmerfinder_out = step_3TX_species__kmerfinder(assembly)\n        staramr(assembly, kmerfinder_out.assigned_species)\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    wf_amr_campylobacter(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\nworkflow {\n    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))\n}\n
B01_spades_listeria	B01_spades_listeria	B01	De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.	Y	N	missing_param	ERROR ~ missing required param: hosts_dir	0	3	N	step_1PP_hostdepl__bowtie			step_1PP_hostdepl__bowtie, step_2AS_denovo__spades	step_1PP_hostdepl__bowtie, step_2AS_denovo__spades	step_2AS_denovo__spades	1392	64	2	2	11.3	Approved! The pipeline will proceed with the `module_denovo` template for de novo assembly of *Listeria monocytogenes* using SPAdes from Illumina paired-end reads.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { extractKey } from '../functions/common.nf'\n\ninclude { getHost; getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_1PP_hostdepl__bowtie } from '../steps/step_1PP_hostdepl__bowtie'\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\n// --- GLOBALS ---\n\ndef hostRiscd = '220308-020220308005121273-1PP_import-external'\n\ndef hostCode = 'GRCh38'\n\ndef hostPath = "${params.assets_dir}/module_denovo/GRCh38.fasta"\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow module_denovo {\n    \n    take:\n        \n        trimmedReads\n        \n        host\n        \n    \n    main:\n        trimmedReads.cross(host) { extractKey(it) }\n            .map { [ it[0][0], it[0][1], it[1][1] ] } // riscd, reads, host\n            .branch {\n                with_host: it[1][1]\n                without_host: true\n            }\n            .set { branchedTrimmed }\n\n        depleted = step_1PP_hostdepl__bowtie(branchedTrimmed.with_host)\n\n        branchedTrimmed.without_host\n            .mix(depleted)\n            .map { it[0,1] }\n            .set { denovoInput }\n\n        assembled = step_2AS_denovo__spades(denovoInput)\n    \n    emit:\n        \n        assembled = assembled\n        \n        depleted = depleted\n        \n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    module_denovo(getSingleInput(), getHost())\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\nworkflow {\n    step_2AS_denovo__spades(getSingleInput())\n}\n
B02_shovill_ecoli	B02_shovill_ecoli	B02	Quick bacterial genome assembly with Shovill from Illumina reads (Escherichia coli).	Y	Y	none		3	3	Y				step_2AS_denovo__shovill	step_2AS_denovo__shovill	step_2AS_denovo__shovill	650	37	1	2	9.7	Understood! Proceeding with the **`module_wgs_bacteria`** template for a quick bacterial genome assembly of *Escherichia coli* from Illumina reads using Shovill.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'\n\n// --- GLOBALS ---\n\ndef shovillContainer = 'ghcr.io/genpat-it/shovill:1.1.0--2023-03-17'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow module_wgs_bacteria {\n    \n    take:\n        \n        trimmedReads\n        \n    \n    main:\n        step_2AS_denovo__shovill(trimmedReads)\n    \n    emit:\n        \n        assembly = step_2AS_denovo__shovill.out.assembly\n        \n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    module_wgs_bacteria(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'\nworkflow {\n    step_2AS_denovo__shovill(getSingleInput())\n}\n
