"id","id","category","prompt","syntax_valid","semantic_valid","error_category","error_detail","n_processes","expected_processes","matches_gt_steps","extra_steps","missing_steps","hallucinated_steps","included_steps","called_steps","ground_truth_steps","code_chars","code_lines","n_workflow_calls","turns","elapsed_s","llm_reply_excerpt","nextflow_code","ground_truth_code"
"A01_mlst_listeria","A01_mlst_listeria","A01","I have a Listeria monocytogenes assembly and I want to run MLST typing on it.","Y","N","silent_no_op","No process placeholders appeared. when: clause filtered everything?","0","1","Y","","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","371","28","1","2","6.2","Great! I'll set up the pipeline to run MLST typing on your Listeria monocytogenes assembly using the mlst tool. This will analyze the assembly and determine the MLST type.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getInput } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow step_4TY_MLST__mlst {
    
    take:
        
        assembly
        
    
    main:
        mlst(assembly)
    
}

// --- ENTRYPOINT ---
workflow {
    step_4TY_MLST__mlst(getInput())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A02_mlst_ecoli","A02_mlst_ecoli","A02","Run MLST typing on an Escherichia coli assembly.","Y","N","silent_no_op","No process placeholders appeared. when: clause filtered everything?","0","1","Y","","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","383","28","1","2","6.2","Great! I'll set up the pipeline to run MLST typing on your Escherichia coli assembly using the `step_4TY_MLST__mlst` tool. This will analyze the assembly and provide the MLST type.

Here's the plan:
1. Input: Escherichia coli assembly
2. Process: MLST typing using `step_4TY_MLST__mlst`
3. Output: ML","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow step_4TY_MLST__mlst {
    
    take:
        
        assembly
        
    
    main:
        mlst(assembly)
    
}

// --- ENTRYPOINT ---
workflow {
    step_4TY_MLST__mlst(getSingleInput())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A03_mlst_salmonella","A03_mlst_salmonella","A03","Classic MLST (PubMLST) on a Salmonella enterica assembly.","Y","N","silent_no_op","No process placeholders appeared. when: clause filtered everything?","0","1","Y","","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","383","28","1","2","6.9","Great! I'll proceed with the classic MLST (PubMLST) pipeline for Salmonella enterica using the `step_4TY_MLST__mlst` component. This will analyze your Salmonella enterica assembly to determine the MLST type.

Here's the plan:
1. Input: Salmonella enterica assembly
2. Process: MLST typing using the `","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow step_4TY_MLST__mlst {
    
    take:
        
        assembly
        
    
    main:
        mlst(assembly)
    
}

// --- ENTRYPOINT ---
workflow {
    step_4TY_MLST__mlst(getSingleInput())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A04_cgmlst_listeria","A04_cgmlst_listeria","A04","cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.","Y","N","silent_no_op","No process placeholders appeared. when: clause filtered everything?","0","3","Y","","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","4642","151","1","2","12.2","Great! I'll proceed with the pipeline to generate a cgMLST allelic profile for Listeria monocytogenes using the pre-existing assembly. Here's the plan:

1. **Input**: Pre-existing assembly of Listeria monocytogenes
2. **Tool**: `step_4TY_cgMLST__chewbbaca` (chewbbaca)
3. **Output**: cgMLST allelic p","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'

include { parseMetadataFromFileName } from '../functions/common.nf'

// --- GLOBALS ---

def SPECIES_SCHEMA = ['listeria_monocytogenes': ['l_mono_chewie_1748_220623'], 'escherichia_coli': ['e_coli_chewie_2360_210531'], 'salmonella_enterica': ['s_enterica_chewie_3255_210531']]

def SCHEMAS = ['l_mono_chewie_1748_220623': '/schemas/Listeria_monocytogenes_Pasteur_cgMLST_2022-06-23T18_03_54.613576.zip', 'e_coli_chewie_2360_210531': '/schemas/Escherichia_coli_INNUENDO_wgMLST_2021-05-31T14_24_05.304225.zip', 's_enterica_chewie_3255_210531': '/schemas/Salmonella_enterica_INNUENDO_cgMLST_2021-05-31T20_28_21.350919.zip']

def CHEWBBACA_SINGLE_END_PARAMS = ['l_mono_chewie_1748_220623': ' --minimum-length 144 --st 0.1 --bsr 0.6 ', 'e_coli_chewie_2360_210531': ' --minimum-length 0 --st 0.01 --bsr 0.6 --genes-list /schemas/Escherichia_coli_INNUENDO_cgMLST_EFSA_filterlist.txt ', 's_enterica_chewie_3255_210531': ' --minimum-length 0 --st 0.01 --bsr 0.6 --genes-list /schemas/Salmonella_enterica_INNUENDO_cgMLST_EFSA_filterlist.txt ']

def CHEWBBACA_PAIRED_END_PARAMS = ['l_mono_chewie_1748_220623': ' --minimum-length 144 ', 'e_coli_chewie_2360_210531': ' --minimum-length 0 --genes-list /schemas/Escherichia_coli_INNUENDO_cgMLST_EFSA_filterlist.txt ', 's_enterica_chewie_3255_210531': ' --minimum-length 0 --genes-list /schemas/Salmonella_enterica_INNUENDO_cgMLST_EFSA_filterlist.txt ']

def STEP = '4TY_cgMLST'

def METHOD = 'chewbbaca'

def ENTRYPOINT = 'step_${STEP}__${METHOD}'

// --- INLINE PROCESSES ---

process chewbbaca {
    container 'ghcr.io/genpat-it/chewbbaca-w-chewie-schemas:2.8.5--16b816c96d'
    
    input:
    
    tuple val(riscd_input), path(assembly)
    
    val genus_species
    
    val schema
    
    
    output:
    
    path '**'
    
    path(""${base}_results_statistics.tsv""), emit: stats
    
    tuple path(""${base}_results_alleles.tsv""), path('schema/'), emit: alleles
    
    tuple path(""${base}_results_alleles.tsv""), path(""${base}_new_alleles.txt""), val(schemaName), emit: alleles_with_new
    
    path '{*.sh,*.log}', hidden: true
    
    
    script:
    """"""
md = parseMetadataFromFileName(assembly.getName())
base = ""${md.ds}-${ex.dt}_${md.cmp}_${METHOD}""
schemaName = getSchema(genus_species, schema)
schemaPath = SCHEMAS.get(schemaName)
newAlleleKey = assembly.getName().replaceAll('_', '-')
speciesSpecificParams = getExtraParams(schemaName)
""""""
#!/bin/bash -euo pipefail
unzip ${schemaPath} -d schema > /dev/null
chmod -R 777 schema
mkdir input && cp ${assembly} input/
chewBBACA.py AlleleCall -i input -g schema -o results --cpu ${task.cpus} --force-continue --verbose ${speciesSpecificParams}
grep ""${newAlleleKey}"" schema/*.fasta -A1 -h | grep -v ""\-\-"" > ${base}_new_alleles.txt || echo ""no INF alleles found""
mv results/*/results_alleles.tsv ${base}_results_alleles.tsv
mv results/*/results_contigsInfo.tsv ${base}_results_contigsInfo.tsv
mv results/*/results_statistics.tsv ${base}_results_statistics.tsv
""""""
    """"""
}

process chewbbaca_check {
    container 'quay.io/biocontainers/python:3.9'
    
    input:
    
    path(chewbbacaStats)
    
    
    output:
    
    path '*'
    
    path '{*.sh,*.log}', hidden: true
    
    path(""${base}_import_chewbbaca_check.csv""), emit: check
    
    
    script:
    """"""
md = parseMetadataFromFileName(chewbbacaStats.getName())
base = ""${md.ds}-${ex.dt}_${md.cmp}""
""""""
/scripts/chewieCheck.py --stat ${chewbbacaStats} > ${base}_import_chewbbaca_check.csv
""""""
    """"""
}

process hashing {
    container 'ghcr.io/genpat-it/hashing:1.0--29180a232f'
    
    input:
    
    tuple path(chewbbaca_result), path(schema_path)
    
    
    output:
    
    path '*'
    
    path '{*.sh,*.log}', hidden: true
    
    
    script:
    """"""
md = parseMetadataFromFileName(chewbbaca_result.getName())
base = ""${md.ds}-${ex.dt}_${md.cmp}""
""""""
mask_matrix.py -i ${chewbbaca_result} -o masked_results.tsv
alleleprofile_hasher.py -p masked_results.tsv -d ${schema_path} -o ./_hashed_results.tsv
rm -Rf ${schema_path}/*
""""""
    """"""
}

// --- SUB WORKFLOWS ---

workflow step_4TY_cgMLST__chewbbaca {
    
    take:
        
        assembly
        
        genus_species
        
        schema
        
    
    main:
        chewbbaca_result = chewbbaca(assembly, genus_species, schema)
        hashing(chewbbaca_result.alleles)
        chewbbaca_check(chewbbaca_result.stats).check
    
}

// --- ENTRYPOINT ---
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A05_cgmlst_ecoli","A05_cgmlst_ecoli","A05","cgMLST allelic profile on an Escherichia coli assembly.","Y","N","silent_no_op","No process placeholders appeared. when: clause filtered everything?","0","3","Y","","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","3977","127","1","2","12.8","Great! I'll proceed with the pipeline to generate a cgMLST allelic profile for your Escherichia coli assembly using the `step_4TY_cgMLST__chewbbaca` component. This will require the assembly and the appropriate Escherichia coli schema.

Here's the plan:
1. Input: Escherichia coli assembly
2. Process","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'

// --- GLOBALS ---

def SPECIES_SCHEMA = {'listeria_monocytogenes': ['l_mono_chewie_1748_220623'], 'escherichia_coli': ['e_coli_chewie_2360_210531'], 'salmonella_enterica': ['s_enterica_chewie_3255_210531']}

def SCHEMAS = {'l_mono_chewie_1748_220623': '/schemas/Listeria_monocytogenes_Pasteur_cgMLST_2022-06-23T18_03_54.613576.zip', 'e_coli_chewie_2360_210531': '/schemas/Escherichia_coli_INNUENDO_wgMLST_2021-05-31T14_24_05.304225.zip', 's_enterica_chewie_3255_210531': '/schemas/Salmonella_enterica_INNUENDO_cgMLST_2021-05-31T20_28_21.350919.zip'}

def CHEWBBACA_SINGLE_END_PARAMS = {'l_mono_chewie_1748_220623': ' --minimum-length 144 --st 0.1 --bsr 0.6 ', 'e_coli_chewie_2360_210531': ' --minimum-length 0 --st 0.01 --bsr 0.6 --genes-list /schemas/Escherichia_coli_INNUENDO_cgMLST_EFSA_filterlist.txt ', 's_enterica_chewie_3255_210531': ' --minimum-length 0 --st 0.01 --bsr 0.6 --genes-list /schemas/Salmonella_enterica_INNUENDO_cgMLST_EFSA_filterlist.txt '}

def CHEWBBACA_PAIRED_END_PARAMS = {'l_mono_chewie_1748_220623': ' --minimum-length 144 ', 'e_coli_chewie_2360_210531': ' --minimum-length 0 --genes-list /schemas/Escherichia_coli_INNUENDO_cgMLST_EFSA_filterlist.txt ', 's_enterica_chewie_3255_210531': ' --minimum-length 0 --genes-list /schemas/Salmonella_enterica_INNUENDO_cgMLST_EFSA_filterlist.txt '}

// --- INLINE PROCESSES ---

process chewbbaca {
    container 'ghcr.io/genpat-it/chewbbaca-w-chewie-schemas:2.8.5--16b816c96d'
    
    input:
    
    tuple val(riscd_input), path(assembly)
    
    val genus_species
    
    val schema
    
    
    output:
    
    path '**'
    
    path('${base}_results_statistics.tsv'), emit: stats
    
    tuple path('${base}_results_alleles.tsv'), path('schema/'), emit: alleles
    
    tuple path('${base}_results_alleles.tsv'), path('${base}_new_alleles.txt'), val(schemaName), emit: alleles_with_new
    
    path '{*.sh,*.log}', hidden: true
    
    
    script:
    """"""
#!/bin/bash -euo pipefail
unzip ${schemaPath} -d schema > /dev/null
chmod -R 777 schema
mkdir input && cp ${assembly} input/
chewBBACA.py AlleleCall -i input -g schema -o results --cpu ${task.cpus} --force-continue --verbose ${speciesSpecificParams}
grep ""${newAlleleKey}"" schema/*.fasta -A1 -h | grep -v ""\-\-"" > ${base}_new_alleles.txt || echo ""no INF alleles found""
mv results/*/results_alleles.tsv ${base}_results_alleles.tsv
mv results/*/results_contigsInfo.tsv ${base}_results_contigsInfo.tsv
mv results/*/results_statistics.tsv ${base}_results_statistics.tsv
    """"""
}

process chewbbaca_check {
    container 'quay.io/biocontainers/python:3.9'
    
    input:
    
    path(chewbbacaStats)
    
    
    output:
    
    path '*'
    
    path '{*.sh,*.log}', hidden: true
    
    path('${base}_import_chewbbaca_check.csv'), emit: check
    
    
    script:
    """"""
/scripts/chewieCheck.py --stat ${chewbbacaStats} > ${base}_import_chewbbaca_check.csv
    """"""
}

process hashing {
    container 'ghcr.io/genpat-it/hashing:1.0--29180a232f'
    
    input:
    
    tuple path(chewbbaca_result), path(schema_path)
    
    
    output:
    
    path '*'
    
    path '{*.sh,*.log}', hidden: true
    
    
    script:
    """"""
mask_matrix.py -i ${chewbbaca_result} -o masked_results.tsv
alleleprofile_hasher.py -p masked_results.tsv -d ${schema_path} -o ./_hashed_results.tsv
rm -Rf ${schema_path}/*
    """"""
}

// --- SUB WORKFLOWS ---

workflow step_4TY_cgMLST__chewbbaca {
    
    take:
        
        assembly
        
        genus_species
        
        schema
        
    
    main:
        chewbbaca_result = chewbbaca(assembly, genus_species, schema)
        hashing(chewbbaca_result.alleles)
        chewbbaca_check(chewbbaca_result.stats).check
    
}

// --- ENTRYPOINT ---
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A06_cgmlst_salmonella","A06_cgmlst_salmonella","A06","Generate cgMLST allelic profiles starting from a Salmonella enterica assembly.","N","N","no_code","http exception: HTTPConnectionPool(host='127.0.0.1', port=8765): Read timed out. (read timeout=180)","0","3","N","","step_4TY_cgMLST__chewbbaca","","","","step_4TY_cgMLST__chewbbaca","0","0","0","2","183.3","","","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A07_flaa_campylobacter","A07_flaa_campylobacter","A07","Run flaA typing on a Campylobacter assembly.","Y","N","silent_no_op","No process placeholders appeared. when: clause filtered everything?","0","1","Y","","","","","step_4TY_flaA__flaA","step_4TY_flaA__flaA","460","30","1","2","7.5","Great! I'll set up the pipeline to run FlaA typing on your Campylobacter assembly using the `step_4TY_flaA__flaA` component. The pipeline will be straightforward:

1. Input: Campylobacter assembly
2. Process: FlaA typing

I'll proceed with this configuration.","nextflow.enable.dsl=2

// --- IMPORTS ---

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow step_4TY_flaA__flaA {
    
    take:
        
        assembly
        
        genus_species
        
    
    main:
        mlst_flaa(assembly, genus_species)
    
}

// --- ENTRYPOINT ---
workflow {
    assembly = getCampylobacterAssembly()
    flaA_typing = step_4TY_flaA__flaA(assembly, 'campylobacter')
    flaA_typing.view()
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'
workflow {
    step_4TY_flaA__flaA(getInput(), param('genus_species'))
}
"
"A08_staramr_campylobacter","A08_staramr_campylobacter","A08","AMR profiling with staramr on a Campylobacter assembly.","Y","Y","file_not_found","WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.CAM.2.1.1/2AS_import/DS99999-DT260224_external/result/*.fasta'","3","1","N","step_2AS_denovo__spades","step_4AN_AMR__staramr","","step_2AS_denovo__spades","step_2AS_denovo__spades","step_4AN_AMR__staramr","523","31","1","2","8.1","Great! I'll proceed with the pipeline using Staramr for AMR profiling on your Campylobacter assembly. Since you approved, I'll use the following components:

1. **Assembly**: `step_2AS_denovo__spades` (for de novo assembly)
2. **AMR Profiling**: `step_4AN_AMR__staramr` (for AMR profiling)

This pipe","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow wf_campy_amr {
    
    take:
        
        reads
        
    
    main:
        assembly = step_2AS_denovo__spades(reads)
        staramr(assembly.assembled, 'campylobacter')
    
}

// --- ENTRYPOINT ---
workflow {
    wf_campy_amr(getSingleInput())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'
workflow {
    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))
}
"
"B01_spades_listeria","B01_spades_listeria","B01","De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.","Y","N","silent_no_op","No process placeholders appeared. when: clause filtered everything?","0","3","N","step_1PP_hostdepl__bowtie","","","step_1PP_hostdepl__bowtie, step_2AS_denovo__spades","step_1PP_hostdepl__bowtie, step_2AS_denovo__spades","step_2AS_denovo__spades","1206","57","2","2","7.7","Great! I'll proceed with the pipeline using SPAdes for de novo assembly from Illumina paired-end reads of Listeria monocytogenes, with host depletion using Bowtie2. I'll set up the pipeline now.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getHost; getSingleInput } from '../functions/parameters.nf'

include { extractKey } from '../functions/common.nf'

include { step_1PP_hostdepl__bowtie } from '../steps/step_1PP_hostdepl__bowtie'

include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow module_denovo {
    
    take:
        
        trimmedReads
        
        host
        
    
    main:
        trimmedReads.cross(host) { extractKey(it) }
            .map { [ it[0][0], it[0][1], it[1][1] ] } //riscd, reads, host
            .branch {
                with_host: it[1][1]
                without_host: true
            }
        .set { branchedTrimmed }

        depleted = step_1PP_hostdepl__bowtie(branchedTrimmed.with_host)

        branchedTrimmed.without_host
            .mix(depleted)
            .map { it[0,1] }
            .set{ denovoInput }
        assembled = step_2AS_denovo__spades(denovoInput)
    
    emit:
        
        assembled
        
        depleted
        
    
}

// --- ENTRYPOINT ---
workflow {
    module_denovo(getSingleInput(), getHost())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
workflow {
    step_2AS_denovo__spades(getSingleInput())
}
"
"B02_shovill_ecoli","B02_shovill_ecoli","B02","Quick bacterial genome assembly with Shovill from Illumina reads (Escherichia coli).","Y","N","file_not_found","WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.ECO.3.1.1/0SQ_rawreads/DS99999-DT260224_import/result/*.fastq*'","0","3","Y","","","","","step_2AS_denovo__shovill","step_2AS_denovo__shovill","688","39","1","2","5.8","Great! I'll set up a pipeline using Shovill for bacterial genome assembly from your Illumina reads. This will be a straightforward assembly workflow. Let me finalize the plan.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow step_2AS_denovo__shovill {
    
    take:
        
        rawreads
        
    
    main:
        contigs_from_pe = shovill(rawreads).assembly
        contigs_from_se = shovill_se(rawreads).assembly
        contigs = contigs_from_pe.mix(contigs_from_se)
        quast(contigs)
        if (!params.skip_checkm) {
          checkm(contigs)
        }
    
    emit:
        
        assembly = contigs
        
    
}

// --- ENTRYPOINT ---
workflow {
    step_2AS_denovo__shovill(getSingleInput())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'
workflow {
    step_2AS_denovo__shovill(getSingleInput())
}
"
