id	id	category	prompt	syntax_valid	semantic_valid	error_category	error_detail	n_processes	expected_processes	matches_gt_steps	extra_steps	missing_steps	hallucinated_steps	included_steps	called_steps	ground_truth_steps	code_chars	code_lines	n_workflow_calls	turns	elapsed_s	llm_reply_excerpt	nextflow_code	ground_truth_code
A01_mlst_listeria	A01_mlst_listeria	A01	I have a Listeria monocytogenes assembly and I want to run MLST typing on it.	Y	Y	none		1	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	319	18	1	2	8.8	Approved. I will proceed with the MLST typing step for your Listeria monocytogenes assembly using the specified component.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A02_mlst_ecoli	A02_mlst_ecoli	A02	Run MLST typing on an Escherichia coli assembly.	Y	Y	none		1	1	Y				step_4TY_MLST__mlst	step_4TY_MLST__mlst	step_4TY_MLST__mlst	319	18	1	2	8.3	Approved. I will proceed with MLST typing for your Escherichia coli assembly using the specified component.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getAssembly } from '../functions/parameters.nf'\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_MLST__mlst(getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A03_mlst_salmonella	A03_mlst_salmonella	A03	Classic MLST (PubMLST) on a Salmonella enterica assembly.	Y	N	missing_param	ERROR ~ missing required param: step_3TX_species__kmerfinder__db	0	1	N	step_2AS_mapping__bowtie, step_3TX_species__kmerfinder, step_4AN_AMR__abricate, step_4AN_AMR__staramr, step_4AN_genes__prokka, step_4TY_cgMLST__chewbbaca, step_4TY_flaA__flaA			step_2AS_mapping__bowtie, step_3TX_species__kmerfinder, step_4AN_AMR__abricate, step_4AN_AMR__staramr, step_4AN_genes__prokka, step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca, step_4TY_flaA__flaA	step_3TX_species__kmerfinder, step_2AS_mapping__bowtie, step_4AN_AMR__abricate, step_4AN_genes__prokka, step_4AN_AMR__staramr, step_4TY_MLST__mlst, step_4TY_flaA__flaA, step_4TY_cgMLST__chewbbaca	step_4TY_MLST__mlst	2240	76	8	2	25.6	Perfetto! Procederò con il modulo `module_typing_bacteria` per eseguire l'MLST su Salmonella enterica. Questo modulo include il passo `step_4TY_MLST__mlst` e altri strumenti utili per l'analisi batterica.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getAssembly; getTrimmedReads } from '../functions/parameters.nf'\n\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\n\ninclude { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'\n\ninclude { step_4AN_genes__prokka } from '../steps/step_4AN_genes__prokka'\n\ninclude { extractKey; getEmpty } from '../functions/common.nf'\n\ninclude { step_2AS_mapping__bowtie } from '../steps/step_2AS_mapping__bowtie'\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { step_3TX_species__kmerfinder } from '../steps/step_3TX_species__kmerfinder'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow module_typing_bacteria {\n    \n    take:\n        \n        trimmed\n        \n        assembly\n        \n    \n    main:\n        assigned_species = step_3TX_species__kmerfinder(assembly).assigned_species\n\n        if (!params.skip_bestref_mapping) {\n          trimmed.cross(assigned_species) { extractKey(it) }.multiMap {\n            trimmed: it[0]\n            species: it[1][1]\n            referencePath: it[1][2]\n          }.set { trimAndAndSpecies }\n          step_2AS_mapping__bowtie(trimAndAndSpecies.trimmed, trimAndAndSpecies.referencePath)\n        }\n\n        step_4AN_AMR__abricate(assembly)\n\n        step_4AN_genes__prokka(assembly.map{ [ it[0], it[1], 'Bacteria', '-', '-', getEmpty() ] })\n\n        assembly.cross(assigned_species) { extractKey(it) }.multiMap {\n          assembly: it[0]\n          species: it[1][1]\n        }.set { assemblyAndSpecies }\n\n        step_4AN_AMR__staramr(assemblyAndSpecies.assembly, assemblyAndSpecies.species)\n        step_4TY_MLST__mlst(assemblyAndSpecies.assembly)\n        step_4TY_flaA__flaA(assemblyAndSpecies.assembly, assemblyAndSpecies.species)\n        step_4TY_cgMLST__chewbbaca(assemblyAndSpecies.assembly, assemblyAndSpecies.species, '')\n    \n    emit:\n        \n        genus_species = assigned_species\n        \n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    module_typing_bacteria(getTrimmedReads(true), getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    step_4TY_MLST__mlst(getInput())\n}\n
A04_cgmlst_listeria	A04_cgmlst_listeria	A04	cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.	Y	N	missing_param	ERROR ~ missing required param: step_3TX_species__kmerfinder__db	0	3	N		step_4TY_cgMLST__chewbbaca				step_4TY_cgMLST__chewbbaca	370	18	0	2	9.7	Pipeline approved. I will now prepare the detailed plan for the Architect Agent to build the cgMLST allelic profile pipeline for Listeria monocytogenes using the assembly you provided.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { module_typing_bacteria } from '../modules/module_typing_bacteria'\n\ninclude { getAssembly; getTrimmedReads } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    module_typing_bacteria(getTrimmedReads(true), getAssembly())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A05_cgmlst_ecoli	A05_cgmlst_ecoli	A05	cgMLST allelic profile on an Escherichia coli assembly.	Y	Y	none		3	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	423	18	1	2	10.2	Understood. I will proceed with generating a cgMLST allelic profile for your Escherichia coli assembly using the `step_4TY_cgMLST__chewbbaca` component. If you have any additional requirements or changes, let me know before I finalize the plan.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getAssembly; optionalOrDefault; param } from '../functions/parameters.nf'\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getAssembly(), param('genus_species'), optionalOrDefault('schema', ''))\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A06_cgmlst_salmonella	A06_cgmlst_salmonella	A06	Generate cgMLST allelic profiles starting from a Salmonella enterica assembly.	Y	Y	none		3	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	423	18	1	2	9.5	Approved. I will generate a pipeline to create cgMLST allelic profiles for Salmonella enterica using the assembly and genus_species information.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getAssembly; optionalOrDefault; param } from '../functions/parameters.nf'\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getAssembly(), param('genus_species'), optionalOrDefault('schema', ''))\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
A07_flaa_campylobacter	A07_flaa_campylobacter	A07	Run flaA typing on a Campylobacter assembly.	Y	Y	none		1	1	Y				step_4TY_flaA__flaA	step_4TY_flaA__flaA	step_4TY_flaA__flaA	350	18	1	2	8.9	I will proceed with the flaA typing step for your Campylobacter assembly using the specified component.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { getAssembly; param } from '../functions/parameters.nf'\n\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    step_4TY_flaA__flaA(getAssembly(), param('genus_species'))\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'\nworkflow {\n    step_4TY_flaA__flaA(getInput(), param('genus_species'))\n}\n
A08_staramr_campylobacter	A08_staramr_campylobacter	A08	AMR profiling with staramr on a Campylobacter assembly.	Y	N	missing_param	ERROR ~ missing required param: step_3TX_species__kmerfinder__db	0	1	N	step_3TX_species__kmerfinder			step_3TX_species__kmerfinder, step_4AN_AMR__staramr	step_3TX_species__kmerfinder, step_4AN_AMR__staramr	step_4AN_AMR__staramr	583	21	2	2	9.7	Understood! I will design a pipeline that includes species identification using `step_3TX_species__kmerfinder` followed by AMR profiling with `step_4AN_AMR__staramr`.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\n\ninclude { step_3TX_species__kmerfinder } from '../steps/step_3TX_species__kmerfinder'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    kmerfinder_out = step_3TX_species__kmerfinder(getSingleInput())\n    step_4AN_AMR__staramr(kmerfinder_out.assigned_species.map { [ it[0], it[1], it[2][1] ] }, kmerfinder_out.assigned_species.map { it[1] })\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'\nworkflow {\n    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))\n}\n
B01_spades_listeria	B01_spades_listeria	B01	De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.	Y	Y	none		6	3	N	step_1PP_trimming__fastp			step_1PP_trimming__fastp, step_2AS_denovo__spades	step_1PP_trimming__fastp, step_2AS_denovo__spades	step_2AS_denovo__spades	472	21	2	2	11.4	The pipeline for de novo genome assembly of Listeria monocytogenes using SPAdes with Illumina paired-end reads has been approved. I will now draft the detailed plan for the Architect Agent.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    trimmed = step_1PP_trimming__fastp(getSingleInput()).trimmed\n    step_2AS_denovo__spades(trimmed)\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\nworkflow {\n    step_2AS_denovo__spades(getSingleInput())\n}\n
B02_shovill_ecoli	B02_shovill_ecoli	B02	Quick bacterial genome assembly with Shovill from Illumina reads (Escherichia coli).	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	3	Y					step_2AS_denovo__shovill	step_2AS_denovo__shovill	579	34	1	2	24.5	⚠️ **Generation Warning**: I reached the maximum number of attempts trying to generate a perfectly valid pipeline. I have output the current draft as a **best effort**, but please note that the generated code **might have errors or missing components** based on the strict DSL2 rules.	// ⚠️ WARNING: Pipeline generation failed strict DSL2 validation.\n// The code above is potentially broken or incomplete and was output as a best-effort draft.\n\nnextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\n// --- GLOBALS ---\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow module_wgs_bacteria {\n    \n    take:\n        \n        trimmedReads\n        \n    \n    main:\n        step_2AS_denovo__shovill(trimmedReads)\n    \n    emit:\n        \n        step_2AS_denovo__shovill.out\n        \n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    module_wgs_bacteria(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'\nworkflow {\n    step_2AS_denovo__shovill(getSingleInput())\n}\n
