conv_id	turn_index	modification_kind	base_id	id	category	prompt	syntax_valid	semantic_valid	error_category	error_detail	n_processes	expected_processes	matches_gt_steps	extra_steps	missing_steps	hallucinated_steps	included_steps	called_steps	ground_truth_steps	code_chars	code_lines	n_workflow_calls	turns	elapsed_s	llm_reply_excerpt	nextflow_code	ground_truth_code
MOD_M01_E02_add_mlst	1	add	E02_cgmlst_lis_fastp_spades	MOD_M01_E02_add_mlst_t1	modification	cgMLST allelic profile for Listeria monocytogenes from paired Illumina FASTQ (fastp + SPAdes + chewbbaca).	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	9	Y				step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca	step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca	step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca	900	40	3	2	12.7	Understood! The pipeline for generating a cgMLST allelic profile for *Listeria monocytogenes* from paired Illumina FASTQ reads has been approved. Here is the detailed plan for the Architect Agent:\n\n---\n\n### **Approved Pipeline Plan**\n\n#### **Objective**: Generate a cgMLST allelic profile for *Lister	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\n// --- GLOBALS ---\n\ndef cgMLSTSchema = 'l_mono_chewie_1748_220623'\n\ndef cgMLSTGenusSpecies = 'listeria_monocytogenes'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow wf_cgmlst_listeria {\n    \n    take:\n        \n        rawreads\n        \n    \n    main:\n        trimmed = step_1PP_trimming__fastp(rawreads).trimmed\n        assembled = step_2AS_denovo__spades(trimmed).assembled\n        step_4TY_cgMLST__chewbbaca(assembled, cgMLSTGenusSpecies, cgMLSTSchema)\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    wf_cgmlst_listeria(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed\n    assembled = step_2AS_denovo__spades(trimmed).assembled\n    step_4TY_cgMLST__chewbbaca(assembled, param('genus_species'), optionalOrDefault('schema', ''))\n}\n
MOD_M01_E02_add_mlst	2	add	E02_cgmlst_lis_fastp_spades	MOD_M01_E02_add_mlst_t2	modification	Now also run classic MLST in parallel on the same assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	10	Y				step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca	step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca, step_4TY_MLST__mlst, step_1PP_trimming__fastp	step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca	1183	51	4	1	7.6	Understood! I will add **classic MLST** (`step_4TY_MLST__mlst`) in parallel to the cgMLST step for *Listeria monocytogenes* using the same assembly. Here is the updated pipeline plan:	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\n// --- GLOBALS ---\n\ndef cgMLSTSchema = 'l_mono_chewie_1748_220623'\n\ndef genusSpecies = 'listeria_monocytogenes'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow wf_listeria_monocytogenes_typing {\n    \n    take:\n        \n        trimmed\n        \n    \n    main:\n        trimmed.multiMap {\n            trimmed: it\n            genus_species: genusSpecies\n            schema: cgMLSTSchema\n        }.set { prep }\n\n        spades_out = step_2AS_denovo__spades(prep.trimmed)\n        step_4TY_cgMLST__chewbbaca(spades_out.assembled, prep.genus_species, prep.schema)\n\n        step_4TY_MLST__mlst(spades_out.assembled)\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    trimmed = step_1PP_trimming__fastp(getSingleInput())\n\n    wf_listeria_monocytogenes_typing(trimmed)\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed\n    assembled = step_2AS_denovo__spades(trimmed).assembled\n    step_4TY_cgMLST__chewbbaca(assembled, param('genus_species'), optionalOrDefault('schema', ''))\n    step_4TY_MLST__mlst(assembled)\n}\n
MOD_M02_D01_add_chewbbaca	1	add	D01_fastp_spades_lis	MOD_M02_D01_add_chewbbaca_t1	modification	From Illumina paired-end FASTQ of Listeria monocytogenes: trim with fastp and assemble with SPAdes.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	6	Y				step_1PP_trimming__fastp, step_2AS_denovo__spades	step_1PP_trimming__fastp, step_2AS_denovo__spades	step_1PP_trimming__fastp, step_2AS_denovo__spades	1215	69	2	2	12.1	Pipeline approved. I will now generate the detailed plan for the Nextflow DSL2 pipeline.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\n\n// --- GLOBALS ---\n\ndef step1RisCd = '240515-020224051500512127-1PP_trimming-fastp'\n\ndef step2RisCd = '240515-020224051500512127-2AS_denovo-spades'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow wf_trim_and_assemble {\n    \n    take:\n        \n        raw_reads\n        \n    \n    main:\n        trimmed = step_1PP_trimming__fastp(raw_reads)\n        spades_assembly = step_2AS_denovo__spades(trimmed)\n    \n    emit:\n        \n        assembled = spades_assembly.assembled\n        \n    \n}\n\nworkflow module_qc_fastqc {\n    \n    take:\n        \n        reads\n        \n    \n    main:\n        fastqc(reads)\n    \n}\n\nworkflow module_qc_quast {\n    \n    take:\n        \n        assembly\n        \n    \n    main:\n        quast(assembly)\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    raw_reads = getSingleInput()\n    wf_trim_and_assemble(raw_reads)\n    module_qc_fastqc(wf_trim_and_assemble(trimmed))\n    module_qc_quast(wf_trim_and_assemble(assembled))\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\nworkflow {\n    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed\n    assembled = step_2AS_denovo__spades(trimmed).assembled\n}\n
MOD_M02_D01_add_chewbbaca	2	add	D01_fastp_spades_lis	MOD_M02_D01_add_chewbbaca_t2	modification	Now also compute cgMLST allelic profiles on the resulting assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	9	N	step_4TY_MLST__mlst	step_4TY_cgMLST__chewbbaca		step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_MLST__mlst	step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_MLST__mlst	step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca	659	29	3	2	10.4	The pipeline has been updated to include MLST typing for *Listeria monocytogenes* using `step_4TY_MLST__mlst`. Here is the detailed plan for the Nextflow DSL2 pipeline:	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\n// --- GLOBALS ---\n\ndef listeriaSchema = 'listeria'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    rawreads = getSingleInput()\n    trimmed = step_1PP_trimming__fastp(rawreads).trimmed\n\n    spades_out = step_2AS_denovo__spades(trimmed)\n\n    step_4TY_MLST__mlst(spades_out.assembled)\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed\n    assembled = step_2AS_denovo__spades(trimmed).assembled\n    step_4TY_cgMLST__chewbbaca(assembled, param('genus_species'), optionalOrDefault('schema', ''))\n}\n
MOD_M03_B01_add_trimming	1	add	B01_spades_listeria	MOD_M03_B01_add_trimming_t1	modification	De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	3	N	step_1PP_trimming__fastp			step_1PP_trimming__fastp, step_2AS_denovo__spades	step_1PP_trimming__fastp, step_2AS_denovo__spades	step_2AS_denovo__spades	903	46	2	2	28.9	Understood! The pipeline for **de novo genome assembly of *Listeria monocytogenes* from Illumina paired-end reads** will proceed with:\n\n1. **Trimming**: `step_1PP_trimming__fastp` (for quality trimming of raw reads).\n2. **Assembly**: `step_2AS_denovo__spades` (for de novo assembly of the trimmed rea	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\n\n// --- GLOBALS ---\n\ndef stepCode = 'Lm001'\n\ndef stepName = 'Listeria monocytogenes De Novo Assembly'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow wf_listeria_assembly {\n    \n    take:\n        \n        raw_reads\n        \n    \n    main:\n        trimmed = step_1PP_trimming__fastp(raw_reads)\n        spades_assembly = step_2AS_denovo__spades(trimmed)\n    \n    emit:\n        \n        assembly = spades_assembly.assembly\n        \n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    // Instantiate raw reads channel from input\n    raw_reads = getSingleInput()\n\n    // Execute the assembly workflow\n    wf_listeria_assembly(raw_reads)\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\nworkflow {\n    step_2AS_denovo__spades(getSingleInput())\n}\n
MOD_M03_B01_add_trimming	2	add	B01_spades_listeria	MOD_M03_B01_add_trimming_t2	modification	Add a fastp trimming step before the assembly.	N	N	no_code	no nextflow_code after max turns	0	6	N		step_1PP_trimming__fastp, step_2AS_denovo__spades				step_1PP_trimming__fastp, step_2AS_denovo__spades	0	0	0	4	138.5	The agent encountered an error.		nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\nworkflow {\n    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed\n    assembled = step_2AS_denovo__spades(trimmed).assembled\n}\n
MOD_M04_A04_add_mlst_parallel	1	add	A04_cgmlst_listeria	MOD_M04_A04_add_mlst_parallel_t1	modification	cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	3	Y				step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca	669	34	1	2	11.2	Understood! The pipeline for generating a cgMLST allelic profile for *Listeria monocytogenes* from a pre-existing assembly has been approved. I will now finalize the plan and provide the detailed instructions for the Architect.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\n// --- GLOBALS ---\n\ndef listeriaMonocytogenesSchema = "l_mono_chewie_1748_220623"\n\ndef listeriaMonocytogenesSpecies = "Listeria monocytogenes"\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow wf_cgmlst_listeria {\n    \n    take:\n        \n        assembly\n        \n    \n    main:\n        step_4TY_cgMLST__chewbbaca(assembly, listeriaMonocytogenesSpecies, listeriaMonocytogenesSchema)\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    wf_cgmlst_listeria(getSingleInput())\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\nworkflow {\n    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))\n}\n
MOD_M04_A04_add_mlst_parallel	2	add	A04_cgmlst_listeria	MOD_M04_A04_add_mlst_parallel_t2	modification	Also run classic MLST on the same assembly.	Y	N	silent_no_op	No process placeholders appeared. when: clause filtered everything?	0	4	Y				step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca	step_4TY_cgMLST__chewbbaca, step_4TY_MLST__mlst	step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca	911	41	2	1	8.9	Understood! I will update the pipeline to include **classic MLST** alongside the cgMLST allelic profiling for *Listeria monocytogenes*. This will involve adding the `step_4TY_MLST__mlst` component to the pipeline. Let me finalize the updated plan.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\n\ninclude { getReference; getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\n\ninclude { getRisCd } from '../functions/common.nf'\n\n// --- GLOBALS ---\n\ndef genusSpecies = 'Listeria monocytogenes'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\nworkflow wf_listeria_cgmlst_mlst {\n    \n    take:\n        \n        assembly\n        \n        schema\n        \n    \n    main:\n        step_4TY_cgMLST__chewbbaca(assembly.map { [getRisCd(), it, genusSpecies] }, genusSpecies, schema)\n        step_4TY_MLST__mlst(assembly.map { [getRisCd(), it] })\n    \n}\n\n// --- ENTRYPOINT ---\nworkflow {\n    ch_assembly = getSingleInput()\n    ch_schema = getReference('cgmlst_schema')\n    wf_listeria_cgmlst_mlst(ch_assembly, ch_schema)\n}	nextflow.enable.dsl=2\n\ninclude { getInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'\ninclude { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'\nworkflow {\n    asm = getInput()\n    step_4TY_cgMLST__chewbbaca(asm, param('genus_species'), optionalOrDefault('schema', ''))\n    step_4TY_MLST__mlst(asm)\n}\n
MOD_M05_E07_add_prokka	1	add	E07_abricate_eco	MOD_M05_E07_add_prokka_t1	modification	Resistance gene detection with ABRicate on Escherichia coli from Illumina paired FASTQ.	Y	Y	none		7	7	N	step_2AS_denovo__shovill	step_2AS_denovo__spades		step_1PP_trimming__fastp, step_2AS_denovo__shovill, step_4AN_AMR__abricate	step_1PP_trimming__fastp, step_2AS_denovo__shovill, step_4AN_AMR__abricate	step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4AN_AMR__abricate	858	30	3	2	12.6	Pipeline approved. Proceeding with resistance gene detection for *Escherichia coli* from Illumina paired FASTQ reads using ABRicate.	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\n\ninclude { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'\n\n// --- GLOBALS ---\n\ndef step_1PP_trimming__fastp_riscd = '230415-020223041500512127-1PP_trimming-fastp'\n\ndef step_2AS_denovo__shovill_riscd = '230415-020223041500512127-2AS_denovo-shovill'\n\ndef step_4AN_AMR__abricate_riscd = '230415-020223041500512127-4AN_AMR-abricate'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    trimmed = step_1PP_trimming__fastp(getSingleInput()).trimmed\n    assembly = step_2AS_denovo__shovill(trimmed).assembly\n    step_4AN_AMR__abricate(assembly)\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\ninclude { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'\nworkflow {\n    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed\n    assembled = step_2AS_denovo__spades(trimmed).assembled\n    step_4AN_AMR__abricate(assembled)\n}\n
MOD_M05_E07_add_prokka	2	add	E07_abricate_eco	MOD_M05_E07_add_prokka_t2	modification	Also annotate the assembly with Prokka.	Y	Y	none		8	8	N	step_2AS_denovo__shovill	step_2AS_denovo__spades		step_1PP_trimming__fastp, step_2AS_denovo__shovill, step_4AN_AMR__abricate, step_4AN_genes__prokka	step_1PP_trimming__fastp, step_2AS_denovo__shovill, step_4AN_genes__prokka, step_4AN_AMR__abricate	step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4AN_AMR__abricate, step_4AN_genes__prokka	1076	39	4	2	12.5	Pipeline updated to include Prokka annotation for the assembled contigs. The pipeline will now proceed with:\n\n1. **Preprocessing**: Trim Illumina reads using `fastp` (`step_1PP_trimming__fastp`).\n2. **Assembly**: Assemble trimmed reads into contigs using `Shovill` (`step_2AS_denovo__shovill`).\n3. **	nextflow.enable.dsl=2\n\n// --- IMPORTS ---\n\ninclude { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'\n\ninclude { getSingleInput } from '../functions/parameters.nf'\n\ninclude { step_4AN_genes__prokka } from '../steps/step_4AN_genes__prokka'\n\ninclude { getEmpty } from '../functions/common.nf'\n\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\n\ninclude { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'\n\n// --- GLOBALS ---\n\ndef kingdom = 'Bacteria'\n\n// --- INLINE PROCESSES ---\n\n// --- SUB WORKFLOWS ---\n\n// --- ENTRYPOINT ---\nworkflow {\n    // Step 1: Trimming Illumina reads\n    trimmed = step_1PP_trimming__fastp(getSingleInput()).trimmed\n\n    // Step 2: De novo assembly of trimmed reads\n    assembly = step_2AS_denovo__shovill(trimmed).assembly\n\n    // Step 3: Genome annotation with Prokka\n    prokka_input = assembly.map { [ it[0], it[1], kingdom, '-', '-', getEmpty() ] }\n    step_4AN_genes__prokka(prokka_input)\n\n    // Step 4: Resistance gene detection with ABRicate\n    step_4AN_AMR__abricate(assembly)\n}	nextflow.enable.dsl=2\n\ninclude { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'\ninclude { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'\ninclude { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'\ninclude { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'\ninclude { step_4AN_genes__prokka } from '../steps/step_4AN_genes__prokka'\nworkflow {\n    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed\n    assembled = step_2AS_denovo__spades(trimmed).assembled\n    step_4AN_AMR__abricate(assembled)\n    step_4AN_genes__prokka(assembled)\n}\n
